run_tag	dataset	scan	mode	n_gt	n_pred	gt_coverage	pred_purity	p@0.25	r@0.25	f1@0.25	miou@0.25	tp@0.25	fp@0.25	fn@0.25	p@0.5	r@0.5	f1@0.5	miou@0.5	tp@0.5	fp@0.5	fn@0.5	p@0.75	r@0.75	f1@0.75	miou@0.75	tp@0.75	fp@0.75	fn@0.75
2026-05-31_183612_1547137	ScanNet	scene0013_01	objects-only	5	11	0.915698	0.776583	0.833333	1.000000	0.909091	0.915698	5	1	0	0.833333	1.000000	0.909091	0.915698	5	1	0	0.666667	0.800000	0.727273	0.992762	4	2	1
2026-05-31_183612_1547137	ScanNet	scene0019_00	objects-only	16	38	0.441037	0.346597	0.476190	0.625000	0.540541	0.598691	10	11	6	0.318182	0.437500	0.368421	0.699431	7	15	9	0.142857	0.187500	0.162162	0.903401	3	18	13
2026-05-31_183612_1547137	ScanNet	scene0019_01	objects-only	18	39	0.419985	0.432512	0.562500	0.500000	0.529412	0.710151	9	7	9	0.466667	0.388889	0.424242	0.825580	7	8	11	0.294118	0.277778	0.285714	0.890672	5	12	13
2026-05-31_183612_1547137	ScanNet	scene0053_00	objects-only	8	14	0.563571	0.568782	0.625000	0.625000	0.625000	0.847505	5	3	3	0.625000	0.625000	0.625000	0.847505	5	3	3	0.333333	0.375000	0.352941	0.983402	3	6	5
2026-05-31_183612_1547137	ScanNet	scene0077_00	objects-only	16	34	0.619592	0.639464	0.800000	0.750000	0.774194	0.744571	12	3	4	0.785714	0.687500	0.733333	0.779715	11	3	5	0.315789	0.375000	0.342857	0.892404	6	13	10
2026-05-31_183612_1547137	ScanNet	scene0078_00	objects-only	8	34	0.760763	0.299874	0.291667	0.875000	0.437500	0.850314	7	17	1	0.291667	0.875000	0.437500	0.850314	7	17	1	0.200000	0.625000	0.303030	0.936156	5	20	3
2026-05-31_183612_1547137	ScanNet	scene0079_01	objects-only	17	16	0.341747	0.571549	0.750000	0.352941	0.480000	0.710388	6	2	11	0.500000	0.235294	0.320000	0.846684	4	4	13	0.300000	0.176471	0.222222	0.936304	3	7	14
2026-05-31_183612_1547137	ScanNet	scene0081_00	objects-only	8	24	0.613381	0.411025	0.533333	1.000000	0.695652	0.613381	8	7	0	0.352941	0.750000	0.480000	0.691305	6	11	2	0.111111	0.250000	0.153846	0.923507	2	16	6
2026-05-31_183612_1547137	ScanNet	scene0090_00	objects-only	13	27	0.552011	0.592585	0.750000	0.692308	0.720000	0.689770	9	3	4	0.666667	0.461538	0.545455	0.839612	6	3	7	0.500000	0.384615	0.434783	0.900625	5	5	8
2026-05-31_183612_1547137	ScanNet	scene0108_00	objects-only	29	75	0.583571	0.309568	0.381818	0.724138	0.500000	0.738020	21	34	8	0.303571	0.586207	0.400000	0.818390	17	39	12	0.186441	0.379310	0.250000	0.932946	11	48	18
