run_tag	dataset	scan	mode	n_gt	n_pred	gt_coverage	pred_purity	p@0.25	r@0.25	f1@0.25	miou@0.25	tp@0.25	fp@0.25	fn@0.25	p@0.5	r@0.5	f1@0.5	miou@0.5	tp@0.5	fp@0.5	fn@0.5	p@0.75	r@0.75	f1@0.75	miou@0.75	tp@0.75	fp@0.75	fn@0.75
2026-05-29_030346_1140063	3RScan	75c25975-9ca2-2844-9769-84677f46d4cf	all	38	16	0.157047	0.348944	0.500000	0.210526	0.296296	0.516298	8	8	30	0.250000	0.105263	0.148148	0.692443	4	12	34	0.062500	0.026316	0.037037	0.768730	1	15	37
2026-05-29_030346_1140063	3RScan	fcf66d94-622d-291c-85fc-284b68d64c81	all	26	20	0.433821	0.511613	0.750000	0.576923	0.652174	0.633373	15	5	11	0.450000	0.346154	0.391304	0.814784	9	11	17	0.250000	0.192308	0.217391	0.981571	5	15	21
2026-05-29_030346_1140063	3RScan	b8837e16-57ec-29c6-89c3-0e8b7d668f56	all	7	6	0.549750	0.542162	0.833333	0.714286	0.769231	0.642546	5	1	2	0.500000	0.428571	0.461538	0.775337	3	3	4	0.333333	0.285714	0.307692	0.872001	2	4	5
2026-05-29_030346_1140063	3RScan	6bde6070-9162-246f-8ea9-c8bbe5d7133a	all	25	10	0.224355	0.459824	0.600000	0.240000	0.342857	0.675599	6	4	19	0.500000	0.200000	0.285714	0.735112	5	5	20	0.200000	0.080000	0.114286	0.934721	2	8	23
2026-05-29_030346_1140063	3RScan	2e36954b-e133-204c-92ad-1a66c6f63e1a	all	18	18	0.399072	0.440515	0.722222	0.722222	0.722222	0.484183	13	5	5	0.277778	0.277778	0.277778	0.651126	5	13	13	0.055556	0.055556	0.055556	1.000000	1	17	17
2026-05-29_030346_1140063	3RScan	6a360567-fa53-2915-9617-da8aa432752d	all	16	9	0.199557	0.322450	0.666667	0.375000	0.480000	0.401130	6	3	10	0.111111	0.062500	0.080000	0.669151	1	8	15	0.000000	0.000000	0.000000	0.000000	0	9	16
2026-05-29_030346_1140063	3RScan	bcb0fe27-4f39-2c70-9dae-5c8625b3553d	all	20	9	0.208651	0.363084	0.555556	0.250000	0.344828	0.526436	5	4	15	0.222222	0.100000	0.137931	0.785714	2	7	18	0.111111	0.050000	0.068966	1.000000	1	8	19
2026-05-29_030346_1140063	3RScan	6a36054b-fa53-2915-946e-4ec15f811f6e	all	12	7	0.355075	0.524290	0.857143	0.500000	0.631579	0.559323	6	1	6	0.428571	0.250000	0.315789	0.737078	3	4	9	0.285714	0.166667	0.210526	0.800089	2	5	10
2026-05-29_030346_1140063	3RScan	09582244-e2c2-2de1-956c-357092d949d1	all	11	7	0.319799	0.495410	0.714286	0.454545	0.555556	0.609247	5	2	6	0.428571	0.272727	0.333333	0.760567	3	4	8	0.142857	0.090909	0.111111	1.000000	1	6	10
2026-05-29_030346_1140063	3RScan	20c993b7-698f-29c5-847d-c8cb8a685f5a	all	14	20	0.357247	0.286330	0.500000	0.714286	0.588235	0.433427	10	10	4	0.200000	0.285714	0.235294	0.588682	4	16	10	0.050000	0.071429	0.058824	0.754564	1	19	13
