accuracy_mean_m,accuracy_median_m,accuracy_p95_m,alignment_mode,alignment_scale,alignment_translation_norm_m,chamfer_l1_mean_m,completeness_mean_m,completeness_median_m,completeness_p95_m,fscore_at_0.050m,gt_points_scope,method_name,metrics_path,precision_at_0.050m,pred_points_eval,recall_at_0.050m,report_threshold_m,rgbd_correspondences_raw,rgbd_fit_residual_median_m,rgbd_fit_residual_p95_m,rgbd_frames_used,scene_id,scope
1.1669505834579468,1.052583932876587,2.9841050863265988,rgbd_correspondence,0.9324113169207173,3.6524536029518253,1.1988003253936768,0.0318496972322464,0.02004605531692505,0.09558209292590608,0.24172178125602795,399924,scannet_scene0013_01_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0013_01_must3r/scene0013_01/metrics.json,0.14161754324847128,218158,0.8246041747932107,0.05,77795,0.05514078085207953,0.4185632763178698,73,scene0013_01,visible_gt
1.542230486869812,0.25213825702667236,6.905354309082031,rgbd_correspondence,0.9458061920292543,6.869791347788754,1.5758931636810303,0.03366271033883095,0.02190023474395275,0.09246535152196884,0.38853862567139164,399084,scannet_scene0019_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0019_00_must3r/scene0019_00/metrics.json,0.25743621194657984,378284,0.791743091679947,0.05,69646,0.07473907412140772,0.3325190544011802,73,scene0019_00,visible_gt
1.7714029550552368,0.2307058870792389,7.70828876495361,rgbd_correspondence,0.8614779981854644,5.569829991326863,1.8169512748718262,0.04554833844304085,0.026183078065514565,0.1460333004593849,0.38077438600361696,399052,scannet_scene0019_01_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0019_01_must3r/scene0019_01/metrics.json,0.2608983019983499,444817,0.7044520513617273,0.05,48503,0.09584634851959489,0.5636952542715862,53,scene0019_01,visible_gt
0.16396796703338623,0.060882747173309326,1.0559622049331665,rgbd_correspondence,0.9696253141893423,5.060689181766916,0.20228733122348785,0.03831936791539192,0.01917838305234909,0.14473891258239746,0.5659083320883332,399841,scannet_scene0053_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0053_00_must3r/scene0053_00/metrics.json,0.4419984952768412,107661,0.7863550761427668,0.05,56697,0.05108299766650308,0.24076732539378384,69,scene0053_00,visible_gt
0.3148047924041748,0.0764571949839592,2.0137833118438717,rgbd_correspondence,0.8862547361057682,3.697306820974078,0.35555243492126465,0.04074763134121895,0.02362930402159691,0.12376803904771803,0.4991033504749752,399853,scannet_scene0077_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0077_00_must3r/scene0077_00/metrics.json,0.3728520928606162,183027,0.7546273255421367,0.05,42351,0.06362170476922858,0.32793991501205405,42,scene0077_00,visible_gt
0.18109560012817383,0.04525214806199074,0.6367374420166013,rgbd_correspondence,0.9910616577477066,4.351363147497623,0.20349247753620148,0.0223968718200922,0.016213778406381607,0.06347285993397235,0.6731099301852363,399764,scannet_scene0078_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0078_00_must3r/scene0078_00/metrics.json,0.5306486009643796,116759,0.9201353798741257,0.05,42505,0.04423207270691852,0.20448353792538917,45,scene0078_00,visible_gt
0.08943092077970505,0.034450188279151917,0.2768768414854993,rgbd_correspondence,1.061389756467021,3.213535367145378,0.1098877340555191,0.020456809550523758,0.016444236040115356,0.04789118524640796,0.7549086726771485,399794,scannet_scene0079_01_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0079_01_must3r/scene0079_01/metrics.json,0.6248606067537815,139892,0.9533159577182249,0.05,57480,0.05319079397607923,0.1802626399986357,58,scene0079_01,visible_gt
0.36665236949920654,0.07816523313522339,2.5465939998626705,rgbd_correspondence,0.9698948671660395,3.141049631855056,0.40835946798324585,0.04170709103345871,0.01906326785683632,0.16151551306247702,0.5107265472522744,399987,scannet_scene0081_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0081_00_must3r/scene0081_00/metrics.json,0.3831080494370315,103647,0.7658373897151658,0.05,77727,0.058054556723877895,0.273551275156323,74,scene0081_00,visible_gt
0.1028052419424057,0.04882019758224487,0.2995726406574247,rgbd_correspondence,1.131341425391071,3.6639915805994745,0.1408160924911499,0.0380108468234539,0.02292352169752121,0.13699981197714806,0.6323929455761556,399496,scannet_scene0090_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0090_00_must3r/scene0090_00/metrics.json,0.508072768006204,92843,0.8372624506878668,0.05,63768,0.07130035866445567,0.25206623844298176,67,scene0090_00,visible_gt
0.1480361819267273,0.07606776058673859,0.3935743391513822,rgbd_correspondence,0.8875078623965872,3.9442201212717545,0.17557436227798462,0.02753818780183792,0.016783200204372406,0.08770586103200904,0.5262372144320807,399953,scannet_scene0108_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0108_00_must3r/scene0108_00/metrics.json,0.3755771410818689,302569,0.8787357514507955,0.05,62848,0.060143989698494715,0.5057336095189093,70,scene0108_00,visible_gt
0.2843855321407318,0.07514071464538574,1.032771110534668,rgbd_correspondence,0.9293147002452922,3.919761144565489,0.31020623445510864,0.025820694863796234,0.0177212655544281,0.06530233770608902,0.5558160091960583,399185,scannet_scene0117_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0117_00_must3r/scene0117_00/metrics.json,0.40598118945649736,191701,0.8809449252852687,0.05,51281,0.05114251047297862,0.24139319178561372,52,scene0117_00,visible_gt
1.9722881317138672,0.1443192958831787,9.497686147689805,rgbd_correspondence,1.0409917006961442,7.214751192196029,1.998641014099121,0.026352865621447563,0.019120704382658005,0.07189119495451447,0.4474871248271789,399734,scannet_scene0118_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0118_00_must3r/scene0118_00/metrics.json,0.29942125500455863,302724,0.8852486903791021,0.05,51816,0.06137868823294591,0.3624280394308105,53,scene0118_00,visible_gt
2.3065760135650635,0.34540843963623047,10.935945653915404,rgbd_correspondence,1.0285295422129588,6.225610082987634,2.3316845893859863,0.02510848641395569,0.016921671107411385,0.07152206674218171,0.4250205656386955,399859,scannet_scene0118_01_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0118_01_must3r/scene0118_01/metrics.json,0.27781202301279795,340680,0.9040786877374274,0.05,68707,0.0611069739119542,0.31800424009638895,71,scene0118_01,visible_gt
2.6958792209625244,0.32375913858413696,12.997284126281732,rgbd_correspondence,1.0389082261790599,7.599972223596866,2.7213802337646484,0.025500942021608353,0.017634859308600426,0.07026584297418575,0.4286013953013982,399857,scannet_scene0118_02_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0118_02_must3r/scene0118_02/metrics.json,0.28028793456979,345773,0.9102654198876098,0.05,60395,0.06488412053666762,0.3715296859326848,62,scene0118_02,visible_gt
0.5484223365783691,0.07378238439559937,2.3818328976631165,rgbd_correspondence,0.9962641023077962,4.4394442030809165,0.570561408996582,0.022139081731438637,0.017881501466035843,0.048840219900012014,0.5995623322051268,399395,scannet_scene0120_01_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0120_01_must3r/scene0120_01/metrics.json,0.4371953787833203,132952,0.9537800923897395,0.05,55290,0.04418450249564127,0.1963808845440028,55,scene0120_01,visible_gt
0.059632349759340286,0.029652059078216553,0.231663778424263,rgbd_correspondence,0.9945239586455947,2.0254513624170682,0.09171440452337265,0.032082054764032364,0.01600843109190464,0.12170907109975787,0.7460447086778574,399783,scannet_scene0143_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0143_00_must3r/scene0143_00/metrics.json,0.6722041870942096,60376,0.8381096744984153,0.05,62300,0.031148471024509697,0.1777135973385021,60,scene0143_00,visible_gt
0.7449976801872253,0.2557925581932068,2.854309892654417,rgbd_correspondence,1.111236902119012,4.692155013863286,0.7683921456336975,0.023394467309117317,0.01830015890300274,0.05815180577337742,0.2694320336427282,399951,scannet_scene0150_00_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0150_00_must3r/scene0150_00/metrics.json,0.1577311552593488,314345,0.9232580991171419,0.05,46646,0.07489374364025986,1.4674272812619213,54,scene0150_00,visible_gt
0.4568423926830292,0.20073820650577545,2.0905183792114257,rgbd_correspondence,1.078719757095623,4.3896084632485,0.4825708270072937,0.025728443637490273,0.018172750249505043,0.0720498725771904,0.29333513794669874,399999,scannet_scene0150_01_must3r,evaluation/outputs/geometry/scannet_must3r_sequence_under300/scannet_scene0150_01_must3r/scene0150_01/metrics.json,0.1756048362374465,326204,0.8900472251180628,0.05,41565,0.0775575337770526,1.9454213851694055,47,scene0150_01,visible_gt
